DateTime;ErrorDescription;idCase;Task_Name;URL;Method_Name;InterfaceTime(MM:ss:mmm)
10/20/2020 22:07:43;Thread was being aborted.;551;Get name;http://localhost:3000/api/szoveg/;GET; 02:00:273
10/20/2020 22:08:05;Thread was being aborted.;501;Get name;http://localhost:3000/api/szoveg/;GET; 02:00:006
10/20/2020 22:09:15;Thread was being aborted.;552;Get name;http://localhost:3000/api/szoveg/;GET; 02:00:031
10/20/2020 22:09:59;Thread was being aborted.;553;Get name;http://localhost:3000/api/szoveg/;GET; 02:00:014
10/20/2020 22:10:32;Thread was being aborted.;554;Get name;http://localhost:3000/api/szoveg/;GET; 02:00:016
10/20/2020 22:19:40;Thread was being aborted.;601;Get name;http://localhost:3000/api/szoveg/;GET; 02:00:018
10/20/2020 22:23:17;Thread was being aborted.;651;Get name;http://localhost:3000/api/szoveg/;GET; 02:00:039
10/20/2020 22:30:02;Thread was being aborted.;701;Get name;http://localhost:3000/api/szoveg/;GET; 02:12:764
10/26/2020 20:12:56;Unable to connect to the remote server Nem hozható létre kapcsolat, mert a célszámítógép már visszautasította a kapcsolatot 127.0.0.1:3000;901;Get name;http://localhost:3000/api/90979653;GET; 00:04:100
10/31/2020 23:17:25;The content type (text/xml) of the interface response is different from the expected one. The remote server returned an error: (400) Bad Request.. {"success":"false","message":"TAJ is required"};1251;Task 2;http://localhost:3000/api;POST; 00:00:055
10/31/2020 23:21:01;The content type (text/xml) of the interface response is different from the expected one. The remote server returned an error: (400) Bad Request.. {"success":"false","message":"TAJ is required"};1201;Task 2;http://localhost:3000/api;POST; 00:00:018
11/26/2020 19:52:17;Thread was being aborted.;1904;Adatbázis feltöltése;http://localhost:3000/api;POST; 00:10:021
11/26/2020 19:53:27;Thread was being aborted.;1904;Adatbázis feltöltése;http://localhost:3000/api;POST; 00:10:012
11/26/2020 19:54:38;Thread was being aborted.;1904;Adatbázis feltöltése;http://localhost:3000/api;POST; 00:10:008
12/04/2020 20:26:45;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2052;Betegadatok lekérése;http://localhost:3000/api/445646;GET; 00:00:041
12/04/2020 20:26:53;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2053;Betegadatok lekérése;http://localhost:3000/api/445566778;GET; 00:00:003
12/04/2020 20:27:46;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2052;Betegadatok lekérése;http://localhost:3000/api/445646;GET; 00:00:016
12/04/2020 20:27:53;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2053;Betegadatok lekérése;http://localhost:3000/api/445566778;GET; 00:00:005
12/04/2020 20:27:57;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2056;Betegadatok lekérése;http://localhost:3000/api/445566778;GET; 00:00:003
12/04/2020 20:28:57;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2056;Betegadatok lekérése;http://localhost:3000/api/445566778;GET; 00:00:017
12/06/2020 17:08:07;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2101;Betegadatok lekérése;http://localhost:3000/api/556677889;GET; 00:00:125
